recipe_name,ingredients,cuisine,meal_type,cooking_time,instructions
Chicken Biryani,chicken rice onion garlic ginger turmeric bay leaves yogurt ghee,Indian,lunch,45,"1. Soak basmati rice in water for 30 minutes. 2. Marinate chicken with yogurt, garlic, ginger, turmeric for 30 minutes. 3. Boil rice with bay leaves until 70% cooked. 4. Layer rice and marinated chicken in a heavy pot. 5. Add ghee and cover with foil. 6. Cook on high heat for 3-4 minutes until steam forms. 7. Reduce heat to low and cook for 30-35 minutes. 8. Let it rest for 5 minutes before serving."
Butter Chicken,chicken butter cream tomato onion garlic ginger chili,Indian,dinner,35,"1. Marinate chicken in yogurt and spices for 1 hour. 2. Cook chicken in a tandoor or oven at 200°C for 15 minutes. 3. In a pan, melt butter and sauté onions until golden. 4. Add garlic and ginger paste. 5. Add tomato puree and cook until oil separates. 6. Add cream and cooked chicken. 7. Simmer for 10-15 minutes. 8. Garnish with cilantro and serve with naan."
Biryani Rice,basmati rice onion garlic ginger turmeric bay leaves cinnamon,Indian,lunch,40,"1. Soak rice in water for 20 minutes. 2. Boil water with whole spices. 3. Add rice and cook until 70% done. 4. Layer rice in a heavy pot with fried onions. 5. Cover with foil and place on tawa. 6. Cook on high heat for 3 minutes until steam forms. 7. Reduce heat and cook for 25-30 minutes. 8. Serve hot with raita."
Pad Thai,rice noodles shrimp tamarind sauce lime fish sauce garlic peanuts,Thai,lunch,20,"1. Soak rice noodles in warm water for 5 minutes. 2. Heat oil in a wok and stir-fry garlic and shrimp. 3. Add noodles and tamarind sauce. 4. Toss well and add lime juice. 5. Stir in peanuts and green onions. 6. Serve with lime wedges and crushed peanuts."
Green Curry,coconut milk green curry paste chicken basil lime fish sauce,Thai,dinner,25,"1. Heat coconut milk in a pan. 2. Add green curry paste and simmer for 2 minutes. 3. Add chicken pieces and cook until done. 4. Add lime juice and fish sauce. 5. Stir in Thai basil. 6. Simmer for 10 minutes. 7. Serve with jasmine rice."
Spaghetti Carbonara,spaghetti bacon eggs parmesan black pepper,Italian,dinner,20,"1. Boil spaghetti in salted water until al dente. 2. Fry bacon until crispy and chop into pieces. 3. Beat eggs with grated parmesan and black pepper. 4. Drain pasta and toss with bacon. 5. Remove from heat and add egg mixture. 6. Toss quickly until creamy. 7. Serve immediately with extra parmesan."
Margherita Pizza,pizza dough tomatoes mozzarella basil olive oil salt,Italian,lunch,25,"1. Roll out pizza dough on a floured surface. 2. Brush with olive oil and place on pizza stone. 3. Spread tomato sauce evenly. 4. Add sliced mozzarella. 5. Bake at 250°C for 12-15 minutes until crust is golden. 6. Top with fresh basil and drizzle with olive oil. 7. Serve hot."
Tacos al Pastor,tortillas pork pineapple onion cilantro lime,Mexican,lunch,40,"1. Marinate sliced pork with chiles, spices and pineapple juice. 2. Layer meat and pineapple on a vertical spit. 3. Roast for 30-40 minutes until cooked. 4. Slice meat and pineapple from spit. 5. Serve in warm tortillas with onion and cilantro. 6. Squeeze lime juice before eating."
Chiles Rellenos,poblano peppers cheese eggs tomato sauce onion,Mexican,dinner,35,"1. Roast poblano peppers over flame until charred. 2. Peel off skin and remove seeds carefully. 3. Stuff with Oaxaca or mozzarella cheese. 4. Whip egg whites until stiff peaks form. 5. Fold in egg yolks gently. 6. Heat oil and dip peppers in egg batter. 7. Fry until golden on both sides. 8. Serve with warm tomato sauce."
Fajitas,chicken bell peppers onion tortillas lime cilantro,Mexican,lunch,25,"1. Slice chicken and bell peppers into strips. 2. Heat oil in a cast iron skillet. 3. Sauté onions until translucent. 4. Add peppers and chicken. 5. Season with cumin and chili powder. 6. Cook for 15 minutes until chicken is done. 7. Serve sizzling with warm tortillas and lime."
Omelette,eggs butter cheese milk salt pepper,breakfast,breakfast,10,"1. Beat eggs with milk, salt and pepper. 2. Heat butter in a non-stick pan over medium heat. 3. Pour egg mixture into pan. 4. Let it set for a few seconds. 5. Push cooked edges to center, tilting pan. 6. When mostly set but top is still wet, add cheese. 7. Fold in half and slide onto plate. 8. Serve immediately."
Pancakes,flour eggs milk baking powder sugar butter,breakfast,breakfast,20,"1. Mix flour, baking powder and sugar in a bowl. 2. In another bowl, beat eggs with milk. 3. Combine wet and dry ingredients gently. 4. Heat butter on a griddle over medium heat. 5. Pour batter in circles. 6. Cook 2-3 minutes until bubbles form on top. 7. Flip and cook another 2 minutes until golden. 8. Serve with maple syrup and butter."
French Toast,bread eggs milk cinnamon sugar butter,breakfast,breakfast,15,"1. Beat eggs with milk, cinnamon and vanilla. 2. Heat butter on a skillet. 3. Dip bread slices in egg mixture, coating both sides. 4. Fry on hot skillet until golden brown. 5. Flip and cook other side until golden. 6. Dust with powdered sugar. 7. Serve with maple syrup and fresh berries."
Shakshuka,eggs tomato sauce onion bell pepper spices,breakfast,breakfast,25,"1. Heat oil and sauté onions and bell peppers. 2. Add tomato sauce and spices. 3. Simmer for 10 minutes until sauce thickens. 4. Make wells in sauce. 5. Crack eggs into each well. 6. Cover and cook 5-8 minutes until eggs are set to your liking. 7. Garnish with parsley. 8. Serve with pita bread."
Kung Pao Chicken,chicken peanuts soy sauce vinegar sesame oil ginger garlic,Chinese,lunch,25,"1. Cut chicken into cubes and set aside. 2. Heat oil in a wok over high heat. 3. Stir-fry chicken until cooked through. 4. Add ginger and garlic. 5. Toss in dried chiles and peanuts. 6. Add soy sauce and vinegar. 7. Stir-fry for another 2-3 minutes. 8. Drizzle with sesame oil and serve over rice."
